project_key,file_path,sonar_complexity,sonar_ncloc,sonar_cognitive_complexity,sonar_comment_lines_density,sonar_reliability_rating,sonar_security_rating,sonar_sqale_rating,sonar_sqale_index,sonar_violations,sonar_code_smells,sonar_bugs,sonar_vulnerabilities,sonar_duplicated_blocks,sonar_duplicated_lines_density,sonar_test_success_density,repo,analysis_date_utc,repo_head_sha,sonar_host_url,sonar_project_key
guava,guava-tests/test/com/google/common/collect/AbstractIteratorTest.java,27,176,11,11.1,1.0,1.0,1.0,6,2,2,,,4,81.9,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractMapEntryTest.java,10,65,,4.4,3.0,1.0,1.0,,3,,3,,1,66.0,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractMapsTransformValuesTest.java,23,209,4,3.2,1.0,1.0,1.0,2,1,1,,,3,83.6,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractMultimapAsMapImplementsMapTest.java,7,51,3,16.4,1.0,1.0,1.0,20,4,4,,,2,61.5,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractRangeSetTest.java,6,46,6,13.2,1.0,1.0,1.0,,,,,,1,58.8,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java,17,127,5,2.3,1.0,1.0,1.0,12,3,3,,,1,76.3,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractTableReadTest.java,20,133,,7.0,1.0,1.0,1.0,10,2,2,,,1,79.3,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractTableTest.java,24,130,10,3.7,1.0,1.0,1.0,5,1,1,,,1,78.2,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AndroidIncompatible.java,0,14,,26.3,1.0,1.0,1.0,,,,,,,,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/ArrayListMultimapTest.java,18,131,2,5.8,1.0,1.0,1.0,,,,,,2,73.3,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/ArrayTableColumnMapTest.java,3,21,,4.5,1.0,1.0,1.0,,1,1,,,1,34.9,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/ArrayTableColumnTest.java,4,25,,3.8,1.0,1.0,1.0,,1,1,,,1,41.7,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/ArrayTableRowMapTest.java,3,21,,4.5,1.0,1.0,1.0,,1,1,,,1,34.9,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/ArrayTableRowTest.java,4,25,,3.8,1.0,1.0,1.0,,1,1,,,1,41.7,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/ArrayTableTest.java,66,400,,2.2,1.0,1.0,1.0,,1,1,,,1,90.6,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/Base.java,6,34,3,5.6,1.0,1.0,1.0,,,,,,1,52.5,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/BenchmarkHelpers.java,49,380,,1.0,1.0,1.0,1.0,103,51,51,,,1,89.4,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
